id,trim,subTrim,condition,isOneOwner,mileage,mileageRd,age,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price
39,550,unsp,New,FALSE,15,10000,1,Silver,4.6,Gasoline,WI,ENC,Premium,Alloy,unsp,72,110922.7555
40,550,unsp,Used,FALSE,8394,10000,2,Silver,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,3,88918.69766
41,550,unsp,Used,FALSE,74561,74561,9,Silver,5.5,Gasoline,GA,SoA,Premium,Alloy,unsp,18,27652.39782
42,550,unsp,New,FALSE,15,10000,2,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,66,111046.4892
43,550,unsp,New,FALSE,249,10000,2,unsp,4.6,Gasoline,MO,WNC,unsp,Alloy,18,52,108464.9698
44,550,unsp,New,FALSE,12,10000,1,unsp,4.6,Gasoline,CA,Pac,unsp,unsp,19,13,110541.1721
45,550,unsp,CPO,FALSE,28543,28543,4,Black,4.6,Gasoline,OH,ENC,unsp,unsp,unsp,51,59278.57506
46,550,unsp,New,FALSE,12,10000,1,Black,4.6,Gasoline,TX,WSC,unsp,unsp,unsp,2,112155.8028
47,550,unsp,Used,FALSE,45463,45463,5,Black,5.5,Gasoline,NJ,Mid,unsp,Alloy,unsp,49,45086.85343
48,550,unsp,New,FALSE,26,10000,2,Black,4.6,Gasoline,AZ,Mtn,unsp,unsp,unsp,15,112228.9197
49,350,unsp,New,FALSE,2246,10000,3,Black,3,Diesel,PA,Mid,unsp,unsp,unsp,56,91079.26377
50,550,unsp,Used,FALSE,73028,73028,8,Black,5.5,Gasoline,CT,New,unsp,Alloy,unsp,73,29904.07006
51,550,unsp,Used,FALSE,51890,51890,8,Black,5.5,Gasoline,NJ,Mid,unsp,Alloy,unsp,64,34893.99821
52,550,unsp,CPO,TRUE,3055,10000,3,White,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,69,82131.04017
53,550,unsp,New,FALSE,12,10000,1,Blue,4.6,Gasoline,NJ,Mid,Premium,Alloy,18,72,111367.479
54,430,unsp,Used,FALSE,67530,67530,11,Gray,4.3,Gasoline,CA,Pac,unsp,unsp,unsp,6,15551.98512
55,500,unsp,Used,FALSE,126198,126198,15,Blue,5,Gasoline,VA,SoA,unsp,Alloy,unsp,73,6331.416143
56,550,unsp,New,FALSE,8,10000,2,Black,4.6,Gasoline,MA,New,unsp,unsp,unsp,54,111230.0314
57,550,unsp,Used,TRUE,9628,10000,3,White,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,93,68530.7256
58,550,unsp,New,FALSE,7,10000,1,Blue,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,2,114652.6969
59,550,unsp,CPO,TRUE,12736,12736,4,Black,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,64,65974.5117
60,430,unsp,Used,FALSE,114004,114004,12,unsp,4.3,Gasoline,CA,Pac,unsp,Alloy,unsp,54,10568.65703
61,550,unsp,CPO,TRUE,33073,33073,4,Black,4.6,Gasoline,FL,SoA,Harman Kardon,Alloy,18,73,55703.75216
62,550,unsp,New,FALSE,10,10000,2,Blue,4.6,Gasoline,MA,New,unsp,Alloy,18,82,112648.8145
63,550,unsp,New,FALSE,9,10000,1,Red,4.6,Gasoline,MA,New,unsp,Alloy,18,105,115339.787
64,63 AMG,unsp,New,FALSE,8,10000,1,Black,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,2,164831.5617
65,550,unsp,Used,TRUE,60755,60755,9,unsp,5.5,Gasoline,CA,Pac,unsp,Alloy,unsp,77,28173.07879
66,63 AMG,unsp,New,FALSE,91,10000,3,White,5.5,Gasoline,CA,Pac,Harman Kardon,unsp,unsp,35,146626.1789
67,550,unsp,Used,FALSE,13200,13200,3,Black,4.6,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,60,66822.56792
68,63 AMG,unsp,New,FALSE,18,10000,1,Black,5.5,Gasoline,NY,Mid,unsp,unsp,unsp,4,164953.7579
69,550,unsp,New,FALSE,7,10000,3,Black,4.6,Gasoline,CA,Pac,Premium,Premium,unsp,58,105153.3846
70,550,unsp,New,FALSE,50,10000,4,Black,4.6,Gasoline,WA,Pac,Harman Kardon,Alloy,unsp,89,83082.80446
71,550,unsp,CPO,TRUE,15756,15756,3,Silver,4.6,Gasoline,CA,Pac,Harman Kardon,Alloy,unsp,75,65554.37688
72,unsp,unsp,New,FALSE,12,10000,1,Blue,4.7,Gasoline,MA,New,Premium,Alloy,unsp,76,134362.7989
73,550,unsp,CPO,FALSE,5120,10000,2,Silver,4.6,Gasoline,GA,SoA,Premium,Alloy,20,126,100884.1515
74,430,unsp,Used,FALSE,93262,93262,16,Black,4.3,Gasoline,FL,SoA,unsp,Alloy,unsp,56,9049.657279
75,430,unsp,Used,FALSE,104470,104470,13,Blue,4.3,Gasoline,MA,New,unsp,unsp,unsp,5,10058.36496
76,550,unsp,Used,FALSE,83206,83206,4,Black,4.6,Gasoline,PA,Mid,Premium,Alloy,unsp,74,40725.40743
77,550,unsp,Used,FALSE,26496,26496,4,Black,4.6,Gasoline,IL,ENC,unsp,unsp,unsp,31,57067.58383
78,550,unsp,New,FALSE,10,10000,3,unsp,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,61,100569.5872
79,65 AMG,unsp,CPO,FALSE,23702,23702,3,Beige,6,Gasoline,AZ,Mtn,Premium,unsp,unsp,82,118555.0728
80,550,unsp,New,FALSE,9,10000,1,Black,4.6,Gasoline,IL,ENC,unsp,unsp,19,18,114998.2995
81,55 AMG,unsp,Used,FALSE,131142,131142,14,Silver,5.4,Gasoline,FL,SoA,unsp,unsp,unsp,0,11633.07229
82,550,unsp,CPO,TRUE,32617,32617,5,White,5.5,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,79,53500.81125
83,550,unsp,New,FALSE,837,10000,2,Black,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,51,111398.8975
84,550,unsp,Used,FALSE,124801,124801,9,White,5.5,Gasoline,GA,SoA,unsp,Alloy,unsp,39,23923.36621
85,550,unsp,New,FALSE,51,10000,1,Black,4.6,Gasoline,TN,ESC,unsp,Premium,unsp,12,111475.1656
86,550,unsp,Used,FALSE,41230,41230,9,Gray,5.5,Gasoline,OH,ENC,unsp,Alloy,unsp,76,31226.6142
87,550,unsp,Used,FALSE,18333,18333,3,unsp,4.6,Gasoline,MD,SoA,Premium,Alloy,unsp,62,63949.52056
88,550,unsp,Used,FALSE,65995,65995,9,Gray,5.5,Gasoline,NV,Mtn,Premium,unsp,unsp,31,28010.076
89,550,unsp,Used,FALSE,25522,25522,5,Black,5.5,Gasoline,FL,SoA,Harman Kardon,unsp,18,36,52917.87552
90,550,unsp,New,FALSE,1,10000,1,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,18,74,114252.0684
91,550,unsp,New,FALSE,22255,22255,3,White,4.6,Gasoline,KY,ESC,Premium,Alloy,unsp,63,84241.93523
92,63 AMG,unsp,Used,FALSE,59971,59971,8,unsp,6.3,Gasoline,FL,SoA,unsp,unsp,unsp,2,39647.90993
93,550,unsp,New,FALSE,14,10000,2,Silver,4.6,Gasoline,FL,SoA,Premium,unsp,unsp,67,110469.7161
94,550,unsp,Used,FALSE,61103,61103,7,Red,5.5,Gasoline,MI,ENC,unsp,unsp,unsp,17,34486.94791
95,550,unsp,Used,FALSE,86725,86725,7,Black,5.5,Gasoline,FL,SoA,Harman Kardon,Alloy,18,60,29475.4619
96,550,unsp,Used,FALSE,18530,18530,8,White,5.5,Gasoline,CA,Pac,Premium,Alloy,unsp,64,41949.29529
97,550,unsp,New,FALSE,5,10000,2,Black,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,0,111130.937
98,550,unsp,Used,FALSE,78270,78270,8,Gray,5.5,Gasoline,TX,WSC,Harman Kardon,unsp,unsp,51,29675.12759
99,65 AMG,unsp,Used,FALSE,58142,58142,9,Black,6,Gasoline,TX,WSC,Premium,unsp,unsp,47,49486.75844
100,550,unsp,CPO,TRUE,36255,36255,5,Black,5.5,Gasoline,NC,SoA,unsp,Alloy,unsp,79,51119.95498
101,550,unsp,New,FALSE,5,10000,1,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0,113518.9975
102,430,unsp,Used,FALSE,106022,106022,16,Black,4.3,Gasoline,NJ,Mid,unsp,Alloy,unsp,21,8299.575898
103,550,unsp,New,FALSE,8,10000,1,Black,4.6,Gasoline,CA,Pac,unsp,unsp,18,83,113772.2939
104,550,unsp,Used,FALSE,66427,66427,9,White,5.5,Gasoline,FL,SoA,Premium,Alloy,unsp,54,28896.37857
105,550,unsp,Used,FALSE,56069,56069,9,Silver,5.5,Gasoline,FL,SoA,Premium,Alloy,unsp,57,29992.477
106,65 AMG,unsp,Used,FALSE,13071,13071,9,Black,6,Gasoline,CO,Mtn,unsp,unsp,unsp,1,77808.41916
107,63 AMG,unsp,Used,FALSE,40260,40260,4,Black,5.5,Gasoline,CA,Pac,Bang Olufsen,Alloy,unsp,75,73319.75255
108,550,unsp,CPO,FALSE,30505,30505,3,Silver,4.6,Gasoline,CA,Pac,Premium,Alloy,unsp,82,61320.43715
109,550,unsp,New,FALSE,10,10000,2,White,4.6,Gasoline,TX,WSC,unsp,unsp,unsp,0,111065.5265
110,550,unsp,CPO,FALSE,14947,14947,3,Black,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,74,69025.40101
111,320,unsp,Used,FALSE,249000,240000,19,Black,3.2,Gasoline,GA,SoA,unsp,unsp,unsp,1,3619.092454
112,430,unsp,Used,FALSE,88585,88585,14,Silver,4.3,Gasoline,MN,WNC,unsp,Alloy,unsp,52,9942.364746
113,550,unsp,New,FALSE,6,10000,2,Blue,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,25,112902.5892
114,550,unsp,New,FALSE,18,10000,2,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,1,110460.8843
115,550,unsp,New,FALSE,6,10000,1,Silver,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,1,111894.8341
116,500,unsp,Used,FALSE,109692,109692,16,Silver,5,Gasoline,CA,Pac,unsp,Alloy,unsp,20,8157.127415
117,550,unsp,Used,FALSE,51948,51948,6,Black,5.5,Gasoline,GA,SoA,unsp,unsp,18,38,41767.79808
118,550,unsp,Used,FALSE,88748,88748,9,Black,5.5,Gasoline,TX,WSC,Premium,Alloy,unsp,61,25493.41232
119,350,unsp,Used,FALSE,33166,33166,3,Blue,3,Diesel,FL,SoA,Premium,Alloy,unsp,69,54270.474
120,430,unsp,Used,FALSE,111318,111318,13,Silver,4.3,Gasoline,FL,SoA,unsp,unsp,unsp,28,10315.8063
121,550,unsp,Used,TRUE,105000,105000,5,Black,5.5,Gasoline,NY,Mid,Premium,unsp,unsp,45,36219.12046
122,550,unsp,New,FALSE,25,10000,2,Silver,4.6,Gasoline,HI,Pac,Premium,Alloy,unsp,65,110146.8749
123,550,unsp,New,FALSE,9,10000,1,Black,4.6,Gasoline,IL,ENC,Premium,Alloy,unsp,65,112417.1211
124,550,unsp,Used,FALSE,128378,128378,9,White,5.5,Gasoline,CA,Pac,unsp,Alloy,unsp,49,23524.27017
125,600,unsp,Used,FALSE,65295,65295,11,Black,5.5,Gasoline,FL,SoA,unsp,Alloy,18,48,20158.36606
126,550,unsp,Used,TRUE,26955,26955,8,Black,5.5,Gasoline,TX,WSC,Premium,Alloy,unsp,39,41793.23089
127,550,unsp,CPO,FALSE,7916,10000,4,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,18,74,65394.49946
128,350,unsp,CPO,FALSE,19769,19769,4,Black,3,Diesel,CA,Pac,unsp,unsp,unsp,17,62442.96441
129,430,unsp,Used,FALSE,124595,124595,15,Black,4.3,Gasoline,CA,Pac,unsp,unsp,unsp,7,7069.800543
130,430,unsp,Used,FALSE,143627,143627,12,Gray,4.3,Gasoline,SC,SoA,unsp,Alloy,unsp,51,9572.045309
131,500,unsp,Used,FALSE,157312,150000,11,Silver,5,Gasoline,SC,SoA,unsp,Alloy,unsp,52,10588.01992
132,63 AMG,unsp,New,FALSE,8,10000,1,White,5.5,Gasoline,CA,Pac,unsp,unsp,20,72,163897.4904
133,550,unsp,New,FALSE,12,10000,1,Blue,4.6,Gasoline,TX,WSC,unsp,unsp,unsp,0,112907.0025
134,550,unsp,New,FALSE,10,10000,1,Silver,4.7,unsp,CA,Pac,unsp,unsp,unsp,1,134358.6392
135,500,unsp,Used,FALSE,70215,70215,15,Black,5,Gasoline,CA,Pac,Premium,Alloy,unsp,25,11830.18655
136,400,Hybrid,Used,FALSE,17765,17765,3,Black,3.5,Hybrid,GA,SoA,Harman Kardon,Alloy,unsp,52,54263.65272
137,550,unsp,New,FALSE,5,10000,1,Black,4.6,Gasoline,OH,ENC,Premium,Alloy,unsp,52,112418.3729
138,550,unsp,New,FALSE,6,10000,1,Silver,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0,111464.6758
139,550,unsp,Used,FALSE,16995,16995,3,Black,4.6,Gasoline,TX,WSC,unsp,Alloy,unsp,60,63665.31777
140,550,unsp,New,FALSE,12,10000,2,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,1,111575.311
141,550,unsp,Used,FALSE,89314,89314,9,Gold,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,0,25692.77235
142,550,unsp,Used,FALSE,50808,50808,8,Black,5.5,Gasoline,NC,SoA,Harman Kardon,unsp,unsp,80,33757.73056
143,550,unsp,New,FALSE,15,10000,1,White,4.6,Gasoline,PA,Mid,Premium,Alloy,unsp,64,113524.3345
144,550,unsp,Used,FALSE,45631,45631,4,Silver,4.6,Gasoline,MS,ESC,unsp,Alloy,unsp,69,47380.75747
145,550,unsp,Used,FALSE,95338,95338,9,Black,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,0,24208.10311
146,550,unsp,New,FALSE,45,10000,2,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0,111671.1813
147,550,unsp,Used,FALSE,56910,56910,7,Blue,5.5,Gasoline,NJ,Mid,unsp,unsp,unsp,6,35046.38399
148,550,unsp,Used,TRUE,61713,61713,8,Gray,5.5,Gasoline,OH,ENC,Premium,Alloy,unsp,50,31903.15084
149,500,unsp,Used,FALSE,119436,119436,16,Silver,5,Gasoline,FL,SoA,Premium,Alloy,unsp,55,7723.171683
150,500,unsp,Used,FALSE,118641,118641,16,Silver,5,Gasoline,PA,Mid,unsp,Alloy,unsp,23,8282.048304
151,500,unsp,Used,FALSE,173386,165000,16,Black,5,Gasoline,FL,SoA,unsp,unsp,unsp,33,6637.599215
152,550,unsp,New,FALSE,7,10000,1,White,4.6,Gasoline,CO,Mtn,Premium,Alloy,unsp,68,112888.8091
153,550,unsp,Used,FALSE,68839,68839,5,Black,5.5,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,62,42359.53709
154,550,unsp,Used,TRUE,100452,100452,8,Black,5.5,Gasoline,FL,SoA,unsp,Alloy,unsp,13,26440.43074
155,550,unsp,Used,FALSE,77339,77339,9,Silver,5.5,Gasoline,SC,SoA,unsp,Alloy,unsp,45,26722.08655
156,550,unsp,New,FALSE,9,10000,1,Silver,4.6,Gasoline,WV,SoA,Premium,Alloy,unsp,67,111593.8503
157,500,unsp,Used,FALSE,92870,92870,16,Gold,5,Gasoline,KY,ESC,unsp,Alloy,unsp,22,10014.25206
158,550,unsp,Used,FALSE,102457,102457,9,Black,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,0,24208.10311
159,550,unsp,CPO,TRUE,27383,27383,3,Black,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,96,61504.77661
160,550,unsp,New,FALSE,14,10000,2,unsp,4.6,Gasoline,CO,Mtn,unsp,unsp,19,9,107572.129
161,550,unsp,Used,FALSE,80123,80123,9,Black,5.5,Gasoline,PA,Mid,Premium,Alloy,unsp,54,26473.75237
162,550,unsp,Used,FALSE,99555,99555,9,Blue,5.5,Gasoline,FL,SoA,Premium,unsp,unsp,37,23794.37052
163,550,unsp,New,FALSE,12,10000,1,Silver,4.7,Gasoline,MD,SoA,unsp,unsp,unsp,95,139175.1018
164,350,unsp,Used,FALSE,15520,15520,4,Silver,3,Diesel,TX,WSC,Harman Kardon,Alloy,unsp,61,60181.55402
165,550,unsp,New,FALSE,32,10000,1,Black,4.7,Gasoline,NY,Mid,Premium,Alloy,20,78,140936.6027
166,550,unsp,New,FALSE,6,10000,1,Black,4.6,Gasoline,NY,Mid,unsp,unsp,unsp,30,113294.9669
167,600,unsp,Used,FALSE,89950,89950,9,Gray,5.5,Gasoline,FL,SoA,unsp,unsp,unsp,55,29809.46368
168,550,unsp,CPO,TRUE,14220,14220,3,White,4.6,Gasoline,OK,WSC,Premium,Alloy,unsp,70,71886.25254
169,550,unsp,Used,FALSE,38314,38314,9,Black,5.5,Gasoline,CO,Mtn,Premium,unsp,unsp,56,33896.91057
170,550,unsp,Used,FALSE,54379,54379,8,Silver,5.5,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,43,34296.02097
171,550,unsp,Used,FALSE,37535,37535,3,Silver,4.6,Gasoline,GA,SoA,Premium,Premium,unsp,57,56362.17541
172,320,unsp,Used,FALSE,93128,93128,17,Silver,3.2,Gasoline,MO,WNC,Premium,Alloy,unsp,44,6719.121139
173,550,unsp,New,FALSE,17,10000,1,Blue,4.6,Gasoline,IL,ENC,unsp,unsp,19,15,114682.6575
174,500,unsp,Used,FALSE,147323,147323,10,Beige,5,Gasoline,TX,WSC,unsp,unsp,unsp,58,12814.67823
175,550,unsp,Used,TRUE,39688,39688,5,Black,5.5,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,73,46466.20675
176,550,unsp,New,FALSE,6,10000,2,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0,110842.1913
177,550,unsp,CPO,FALSE,45846,45846,5,Black,5.5,Gasoline,NC,SoA,Premium,Alloy,20,71,48692.56485
178,550,unsp,New,FALSE,21,10000,2,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,66,111810.7626
179,550,unsp,CPO,TRUE,25813,25813,4,Black,4.6,Gasoline,WV,SoA,Premium,Alloy,unsp,73,59077.6614
180,550,unsp,New,FALSE,5,10000,2,Blue,4.6,Gasoline,NJ,Mid,unsp,unsp,unsp,18,114048.1784
181,550,unsp,Used,TRUE,13761,13761,3,Silver,4.6,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,92,64378.21852
182,550,unsp,CPO,FALSE,12981,12981,2,White,4.6,Gasoline,CA,Pac,unsp,unsp,20,79,94516.54811
183,550,unsp,Used,FALSE,27469,27469,3,Black,4.6,Gasoline,AZ,Mtn,Premium,unsp,unsp,48,59699.63251
184,550,unsp,Used,FALSE,70765,70765,9,Gray,5.5,Gasoline,MD,SoA,Premium,Alloy,unsp,46,27063.779
185,550,unsp,New,FALSE,5,10000,2,Black,4.6,Gasoline,CA,Pac,unsp,Alloy,unsp,31,110518.8002
186,550,unsp,Used,FALSE,37727,37727,5,Black,5.5,Gasoline,GA,SoA,Harman Kardon,Alloy,unsp,72,46956.94342
187,550,unsp,CPO,FALSE,23578,23578,4,Black,4.6,Gasoline,TN,ESC,Harman Kardon,Alloy,18,105,57901.17571
188,550,unsp,New,FALSE,11,10000,1,Black,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,61,112517.5631
189,430,unsp,Used,FALSE,53375,53375,16,Silver,4.3,Gasoline,MA,New,Premium,unsp,unsp,47,13170.05154
190,500,unsp,Used,FALSE,116500,116500,12,Black,5,Gasoline,FL,SoA,Premium,unsp,unsp,49,10864.11753
191,350,unsp,Used,FALSE,16425,16425,4,Black,3,Diesel,GA,SoA,Harman Kardon,Alloy,18,79,54013.7936
192,550,unsp,Used,TRUE,15887,15887,4,Black,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,22,59923.26277
193,600,unsp,Used,FALSE,75810,75810,9,Black,5.5,Gasoline,FL,SoA,Harman Kardon,unsp,unsp,29,30920.53509
194,unsp,unsp,New,FALSE,12,10000,1,Black,6,unsp,NY,Mid,unsp,unsp,20,6,226724.9952
195,550,unsp,New,FALSE,1,10000,2,Black,4.6,Gasoline,CT,New,unsp,unsp,unsp,54,111397.2887
196,550,unsp,Used,FALSE,21133,21133,5,Black,5.5,Gasoline,MD,SoA,unsp,unsp,unsp,0,53921.05504
197,550,unsp,Used,FALSE,38873,38873,5,unsp,5.5,Gasoline,VA,SoA,unsp,unsp,unsp,31,49294.1751
198,550,unsp,New,FALSE,9,10000,1,Black,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,81,112545.8864
199,430,unsp,Used,FALSE,137756,137756,14,White,4.3,Gasoline,CA,Pac,unsp,unsp,unsp,5,8645.104919
200,500,unsp,Used,FALSE,119318,119318,18,Blue,5,Gasoline,PA,Mid,unsp,Alloy,unsp,22,6791.562245
201,550,unsp,New,FALSE,180,10000,2,Silver,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,20,114499.9772
202,550,unsp,CPO,FALSE,22744,22744,4,White,4.6,Gasoline,MO,WNC,unsp,Alloy,unsp,91,60567.05828
203,550,unsp,New,FALSE,9,10000,1,Silver,4.6,Gasoline,NM,Mtn,Premium,Alloy,19,72,110670.6802
204,550,unsp,Used,TRUE,28629,28629,8,Black,5.5,Gasoline,NJ,Mid,Premium,Alloy,unsp,67,39721.92189
205,550,unsp,Used,FALSE,47875,47875,6,Black,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,31,42233.80822
206,550,unsp,CPO,FALSE,711,10000,2,Black,4.6,Gasoline,MA,New,unsp,unsp,unsp,17,106893.222
207,430,unsp,Used,FALSE,104334,104334,14,Black,4.3,Gasoline,OH,ENC,Bose,Chrome,unsp,51,8885.108569
208,550,unsp,Used,FALSE,96226,96226,9,Silver,5.5,Gasoline,NC,SoA,unsp,unsp,unsp,0,24829.65725
209,550,unsp,Used,FALSE,2008,10000,4,unsp,4.6,Gasoline,FL,SoA,Harman Kardon,Alloy,unsp,89,66874.76967
210,550,unsp,New,FALSE,423,10000,1,Black,4.6,Gasoline,CA,Pac,Premium,Alloy,18,79,113799.1933
211,550,unsp,Used,FALSE,88796,88796,9,Black,5.5,Gasoline,CA,Pac,unsp,Alloy,unsp,45,25173.63943
212,550,unsp,Used,FALSE,83183,83183,8,Gray,5.5,Gasoline,CA,Pac,unsp,unsp,unsp,18,28802.1512
213,550,unsp,CPO,FALSE,26301,26301,4,Silver,4.6,Gasoline,FL,SoA,Premium,Alloy,unsp,71,59726.24251
214,550,unsp,Used,FALSE,38523,38523,6,Blue,5.5,Gasoline,FL,SoA,Harman Kardon,Alloy,unsp,66,44492.53509
