"","X","trim","subTrim","condition","isOneOwner","mileage","year","color","displacement","fuel","state","region","soundSystem","wheelType","wheelSize","featureCount","price","pice"
"50","50","550",NA,"Used","f",73028,"2008","Black","5.5 L","Gasoline","CT","New",NA,"Alloy",NA,73,0,30517.1783432792
"51","51","550",NA,"Used","f",51890,"2008","Black","5.5 L","Gasoline","NJ","Mid",NA,"Alloy",NA,64,0,33013.0556398188
"52","52","550",NA,"CPO","t",3055,"2013","White","4.6 L","Gasoline","NJ","Mid","Premium","Alloy",NA,69,0,75625.2939328939
"53","53","550",NA,"New","f",12,"2015","Blue","4.6 L","Gasoline","NJ","Mid","Premium","Alloy","18",72,0,112567.194336672
"54","54","430",NA,"Used","f",67530,"2005","Gray","4.3 L","Gasoline","CA","Pac",NA,NA,NA,6,0,16254.1616108081
"55","55","500",NA,"Used","f",126198,"2001","Blue","5.0 L","Gasoline","VA","SoA",NA,"Alloy",NA,73,0,8462.24342558507
"56","56","550",NA,"New","f",8,"2014","Black","4.6 L","Gasoline","MA","New",NA,NA,NA,54,0,111144.711007971
"57","57","550",NA,"Used","t",9628,"2013","White","4.6 L","Gasoline","FL","SoA",NA,NA,NA,93,0,65982.8083444203
"58","58","550",NA,"New","f",7,"2015","Blue","4.6 L","Gasoline","CA","Pac",NA,NA,NA,2,0,112230.669745865
"59","59","550",NA,"CPO","t",12736,"2012","Black","4.6 L","Gasoline","NY","Mid","Premium","Alloy",NA,64,0,60282.9261201214
"60","60","430",NA,"Used","f",114004,"2004",NA,"4.3 L","Gasoline","CA","Pac",NA,"Alloy",NA,54,0,11495.9046781812
"61","61","550",NA,"CPO","t",33073,"2012","Black","4.6 L","Gasoline","FL","SoA","Harman Kardon","Alloy","18",73,0,54777.2180343194
"62","62","550",NA,"New","f",10,"2014","Blue","4.6 L","Gasoline","MA","New",NA,"Alloy","18",82,0,111036.823435939
"63","63","550",NA,"New","f",9,"2015","Red","4.6 L","Gasoline","MA","New",NA,"Alloy","18",105,0,112540.85169042
"64","64","63 AMG",NA,"New","f",8,"2015","Black","5.5 L","Gasoline","CA","Pac",NA,NA,NA,2,0,164453.282982296
"65","65","550",NA,"Used","t",60755,"2007",NA,"5.5 L","Gasoline","CA","Pac",NA,"Alloy",NA,77,0,29297.2172008842
"66","66","63 AMG",NA,"New","f",91,"2013","White","5.5 L","Gasoline","CA","Pac","Harman Kardon",NA,NA,35,0,134094.019451282
"67","67","550",NA,"Used","f",13200,"2013","Black","4.6 L","Gasoline","CA","Pac","Harman Kardon","Alloy",NA,60,0,62365.2596287108
"68","68","63 AMG",NA,"New","f",18,"2015","Black","5.5 L","Gasoline","NY","Mid",NA,NA,NA,4,0,164300.073268036
"69","69","550",NA,"New","f",7,"2013","Black","4.6 L","Gasoline","CA","Pac","Premium","Premium",NA,58,0,107276.544189197
"70","70","550",NA,"New","f",50,"2012","Black","4.6 L","Gasoline","WA","Pac","Harman Kardon","Alloy",NA,89,0,96265.5080588949
"71","71","550",NA,"CPO","t",15756,"2013","Silver","4.6 L","Gasoline","CA","Pac","Harman Kardon","Alloy",NA,75,0,65794.9119298829
"72","72",NA,NA,"New","f",12,"2015","Blue","4.7 L","Gasoline","MA","New","Premium","Alloy",NA,76,0,132787.847283768
"73","73","550",NA,"CPO","f",5120,"2014","Silver","4.6 L","Gasoline","GA","SoA","Premium","Alloy","20",126,0,96582.9382094601
"74","74","430",NA,"Used","f",93262,"2000","Black","4.3 L","Gasoline","FL","SoA",NA,"Alloy",NA,56,0,9826.01368536027
"75","75","430",NA,"Used","f",104470,"2003","Blue","4.3 L","Gasoline","MA","New",NA,NA,NA,5,0,11275.0250143707
"76","76","550",NA,"Used","f",83206,"2012","Black","4.6 L","Gasoline","PA","Mid","Premium","Alloy",NA,74,0,43268.2372645179
"77","77","550",NA,"Used","f",26496,"2012","Black","4.6 L","Gasoline","IL","ENC",NA,NA,NA,31,0,51257.4617722704
"78","78","550",NA,"New","f",10,"2013",NA,"4.6 L","Gasoline","NY","Mid","Premium","Alloy",NA,61,0,105987.649283116
"79","79","65 AMG",NA,"CPO","f",23702,"2013","Beige","6.0 L","Gasoline","AZ","Mtn","Premium",NA,NA,82,0,126480.432198985
"80","80","550",NA,"New","f",9,"2015","Black","4.6 L","Gasoline","IL","ENC",NA,NA,"19",18,0,112409.222419943
"81","81","55 AMG",NA,"Used","f",131142,"2002","Silver","5.4 L","Gasoline","FL","SoA",NA,NA,NA,0,0,12811.6761277995
"82","82","550",NA,"CPO","t",32617,"2011","White","5.5 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,79,0,51353.6942385737
"83","83","550",NA,"New","f",837,"2014","Black","4.6 L","Gasoline","NY","Mid",NA,NA,NA,51,0,110259.193202925
"84","84","550",NA,"Used","f",124801,"2007","White","5.5 L","Gasoline","GA","SoA",NA,"Alloy",NA,39,0,24679.4519480701
"85","85","550",NA,"New","f",51,"2015","Black","4.6 L","Gasoline","TN","ESC",NA,"Premium",NA,12,0,112966.343940827
"86","86","550",NA,"Used","f",41230,"2007","Gray","5.5 L","Gasoline","OH","ENC",NA,"Alloy",NA,76,0,31910.61721129
"87","87","550",NA,"Used","f",18333,"2013",NA,"4.6 L","Gasoline","MD","SoA","Premium","Alloy",NA,62,0,60265.9713458305
"88","88","550",NA,"Used","f",65995,"2007","Gray","5.5 L","Gasoline","NV","Mtn","Premium",NA,NA,31,0,28754.3644191258
"89","89","550",NA,"Used","f",25522,"2011","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon",NA,"18",36,0,46575.8226756705
"90","90","550",NA,"New","f",1,"2015","Black","4.6 L","Gasoline","NJ","Mid","Premium","Alloy","18",74,0,111808.575373599
"91","91","550",NA,"New","f",22255,"2013","White","4.6 L","Gasoline","KY","ESC","Premium","Alloy",NA,63,0,80725.504926986
"92","92","63 AMG",NA,"Used","f",59971,"2008",NA,"6.3 L","Gasoline","FL","SoA",NA,NA,NA,2,0,44463.8921795116
"93","93","550",NA,"New","f",14,"2014","Silver","4.6 L","Gasoline","FL","SoA","Premium",NA,NA,67,0,110605.650410541
"94","94","550",NA,"Used","f",61103,"2009","Red","5.5 L","Gasoline","MI","ENC",NA,NA,NA,17,0,33360.9851009222
"95","95","550",NA,"Used","f",86725,"2009","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon","Alloy","18",60,0,30206.6841053299
"96","96","550",NA,"Used","f",18530,"2008","White","5.5 L","Gasoline","CA","Pac","Premium","Alloy",NA,64,0,41431.8204942385
"97","97","550",NA,"New","f",5,"2014","Black","4.6 L","Gasoline","FL","SoA",NA,NA,NA,0,0,110947.977373449
"98","98","550",NA,"Used","f",78270,"2008","Gray","5.5 L","Gasoline","TX","WSC","Harman Kardon",NA,NA,51,0,30294.7687050416
"99","99","65 AMG",NA,"Used","f",58142,"2007","Black","6.0 L","Gasoline","TX","WSC","Premium",NA,NA,47,0,52409.324464819
"100","100","550",NA,"CPO","t",36255,"2011","Black","5.5 L","Gasoline","NC","SoA",NA,"Alloy",NA,79,0,49787.9787422044
"101","101","550",NA,"New","f",5,"2015","Black","4.6 L","Gasoline","CA","Pac",NA,NA,NA,0,0,112080.092525656
"102","102","430",NA,"Used","f",106022,"2000","Black","4.3 L","Gasoline","NJ","Mid",NA,"Alloy",NA,21,0,9208.57455923937
"103","103","550",NA,"New","f",8,"2015","Black","4.6 L","Gasoline","CA","Pac",NA,NA,"18",83,0,112521.343173755
"104","104","550",NA,"Used","f",66427,"2007","White","5.5 L","Gasoline","FL","SoA","Premium","Alloy",NA,54,0,29006.7090828446
"105","105","550",NA,"Used","f",56069,"2007","Silver","5.5 L","Gasoline","FL","SoA","Premium","Alloy",NA,57,0,29204.9764659161
"106","106","65 AMG",NA,"Used","f",13071,"2007","Black","6.0 L","Gasoline","CO","Mtn",NA,NA,NA,1,0,63272.784505266
"107","107","63 AMG",NA,"Used","f",40260,"2012","Black","5.5 L","Gasoline","CA","Pac","Bang Olufsen","Alloy",NA,75,0,75153.3990489662
"108","108","550",NA,"CPO","f",30505,"2013","Silver","4.6 L","Gasoline","CA","Pac","Premium","Alloy",NA,82,0,62305.5105549586
"109","109","550",NA,"New","f",10,"2014","White","4.6 L","Gasoline","TX","WSC",NA,NA,NA,0,0,111999.868144737
"110","110","550",NA,"CPO","f",14947,"2013","Black","4.6 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,74,0,66355.2218221404
"111","111","320",NA,"Used","f",249000,"1997","Black","3.2 L","Gasoline","GA","SoA",NA,NA,NA,1,0,2567.40728942234
"112","112","430",NA,"Used","f",88585,"2002","Silver","4.3 L","Gasoline","MN","WNC",NA,"Alloy",NA,52,0,10971.3062230099
"113","113","550",NA,"New","f",6,"2014","Blue","4.6 L","Gasoline","NY","Mid",NA,NA,NA,25,0,111193.74788844
"114","114","550",NA,"New","f",18,"2014","Black","4.6 L","Gasoline","CA","Pac",NA,NA,NA,1,0,110990.295077526
"115","115","550",NA,"New","f",6,"2015","Silver","4.6 L","Gasoline","CA","Pac",NA,NA,NA,1,0,112029.522576822
"116","116","500",NA,"Used","f",109692,"2000","Silver","5.0 L","Gasoline","CA","Pac",NA,"Alloy",NA,20,0,9466.94105929767
"117","117","550",NA,"Used","f",51948,"2010","Black","5.5 L","Gasoline","GA","SoA",NA,NA,"18",38,0,40556.5764314595
"118","118","550",NA,"Used","f",88748,"2007","Black","5.5 L","Gasoline","TX","WSC","Premium","Alloy",NA,61,0,26311.1674422222
"119","119","350",NA,"Used","f",33166,"2013","Blue","3.0 L","Diesel","FL","SoA","Premium","Alloy",NA,69,0,52061.432806646
"120","120","430",NA,"Used","f",111318,"2003","Silver","4.3 L","Gasoline","FL","SoA",NA,NA,NA,28,0,10387.3474216005
"121","121","550",NA,"Used","t",105000,"2011","Black","5.5 L","Gasoline","NY","Mid","Premium",NA,NA,45,0,36824.5171079934
"122","122","550",NA,"New","f",25,"2014","Silver","4.6 L","Gasoline","HI","Pac","Premium","Alloy",NA,65,0,110703.818670272
"123","123","550",NA,"New","f",9,"2015","Black","4.6 L","Gasoline","IL","ENC","Premium","Alloy",NA,65,0,112472.814180567
"124","124","550",NA,"Used","f",128378,"2007","White","5.5 L","Gasoline","CA","Pac",NA,"Alloy",NA,49,0,24512.3623023963
"125","125","600",NA,"Used","f",65295,"2005","Black","5.5 L","Gasoline","FL","SoA",NA,"Alloy","18",48,0,24148.7032379063
"126","126","550",NA,"Used","t",26955,"2008","Black","5.5 L","Gasoline","TX","WSC","Premium","Alloy",NA,39,0,37998.9332265448
"127","127","550",NA,"CPO","f",7916,"2012","Black","4.6 L","Gasoline","NJ","Mid","Premium","Alloy","18",74,0,62691.4134529018
"128","128","350",NA,"CPO","f",19769,"2012","Black","3.0 L","Diesel","CA","Pac",NA,NA,NA,17,0,54958.0525603565
"129","129","430",NA,"Used","f",124595,"2001","Black","4.3 L","Gasoline","CA","Pac",NA,NA,NA,7,0,8283.59770256307
"130","130","430",NA,"Used","f",143627,"2004","Gray","4.3 L","Gasoline","SC","SoA",NA,"Alloy",NA,51,0,9769.01747239321
"131","131","500",NA,"Used","f",157312,"2005","Silver","5.0 L","Gasoline","SC","SoA",NA,"Alloy",NA,52,0,10251.0382844244
"132","132","63 AMG",NA,"New","f",8,"2015","White","5.5 L","Gasoline","CA","Pac",NA,NA,"20",72,0,165571.143747917
"133","133","550",NA,"New","f",12,"2015","Blue","4.6 L","Gasoline","TX","WSC",NA,NA,NA,0,0,112782.325105237
"134","134","550",NA,"New","f",10,"2015","Silver","4.7 L",NA,"CA","Pac",NA,NA,NA,1,0,132884.472739903
"135","135","500",NA,"Used","f",70215,"2001","Black","5.0 L","Gasoline","CA","Pac","Premium","Alloy",NA,25,0,12842.8075762743
"136","136","400","Hybrid","Used","f",17765,"2013","Black","3.5 L","Hybrid","GA","SoA","Harman Kardon","Alloy",NA,52,0,50147.9600485213
"137","137","550",NA,"New","f",5,"2015","Black","4.6 L","Gasoline","OH","ENC","Premium","Alloy",NA,52,0,112264.114762958
"138","138","550",NA,"New","f",6,"2015","Silver","4.6 L","Gasoline","CA","Pac",NA,NA,NA,0,0,111998.379752955
"139","139","550",NA,"Used","f",16995,"2013","Black","4.6 L","Gasoline","TX","WSC",NA,"Alloy",NA,60,0,61121.4310742209
"140","140","550",NA,"New","f",12,"2014","White","4.6 L","Gasoline","CA","Pac",NA,NA,NA,1,0,111965.150788953
"141","141","550",NA,"Used","f",89314,"2007","Gold","5.5 L","Gasoline","CA","Pac",NA,NA,NA,0,0,26551.969211746
"142","142","550",NA,"Used","f",50808,"2008","Black","5.5 L","Gasoline","NC","SoA","Harman Kardon",NA,NA,80,0,33403.6896212206
"143","143","550",NA,"New","f",15,"2015","White","4.6 L","Gasoline","PA","Mid","Premium","Alloy",NA,64,0,113526.860020758
"144","144","550",NA,"Used","f",45631,"2012","Silver","4.6 L","Gasoline","MS","ESC",NA,"Alloy",NA,69,0,47184.773836891
"145","145","550",NA,"Used","f",95338,"2007","Black","5.5 L","Gasoline","CA","Pac",NA,NA,NA,0,0,26076.8843736232
"146","146","550",NA,"New","f",45,"2014","Black","4.6 L","Gasoline","CA","Pac",NA,NA,NA,0,0,110815.816579758
"147","147","550",NA,"Used","f",56910,"2009","Blue","5.5 L","Gasoline","NJ","Mid",NA,NA,NA,6,0,33843.3347550473
"148","148","550",NA,"Used","t",61713,"2008","Gray","5.5 L","Gasoline","OH","ENC","Premium","Alloy",NA,50,0,31965.3062331923
"149","149","500",NA,"Used","f",119436,"2000","Silver","5.0 L","Gasoline","FL","SoA","Premium","Alloy",NA,55,0,8522.24556779953
"150","150","500",NA,"Used","f",118641,"2000","Silver","5.0 L","Gasoline","PA","Mid",NA,"Alloy",NA,23,0,8891.26968525213
"151","151","500",NA,"Used","f",173386,"2000","Black","5.0 L","Gasoline","FL","SoA",NA,NA,NA,33,0,6231.72961369732
"152","152","550",NA,"New","f",7,"2015","White","4.6 L","Gasoline","CO","Mtn","Premium","Alloy",NA,68,0,116333.265493393
"153","153","550",NA,"Used","f",68839,"2011","Black","5.5 L","Gasoline","GA","SoA","Harman Kardon","Alloy",NA,62,0,39350.4842453134
"154","154","550",NA,"Used","t",100452,"2008","Black","5.5 L","Gasoline","FL","SoA",NA,"Alloy",NA,13,0,28097.1663729331
"155","155","550",NA,"Used","f",77339,"2007","Silver","5.5 L","Gasoline","SC","SoA",NA,"Alloy",NA,45,0,27135.6817219253
"156","156","550",NA,"New","f",9,"2015","Silver","4.6 L","Gasoline","WV","SoA","Premium","Alloy",NA,67,0,112326.467757998
"157","157","500",NA,"Used","f",92870,"2000","Gold","5.0 L","Gasoline","KY","ESC",NA,"Alloy",NA,22,0,10831.7496796128
"158","158","550",NA,"Used","f",102457,"2007","Black","5.5 L","Gasoline","CA","Pac",NA,NA,NA,0,0,25552.7080519638
"159","159","550",NA,"CPO","t",27383,"2013","Black","4.6 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,96,0,63535.5548350673
"160","160","550",NA,"New","f",14,"2014",NA,"4.6 L","Gasoline","CO","Mtn",NA,NA,"19",9,0,111038.149936676
"161","161","550",NA,"Used","f",80123,"2007","Black","5.5 L","Gasoline","PA","Mid","Premium","Alloy",NA,54,0,27057.9066248062
"162","162","550",NA,"Used","f",99555,"2007","Blue","5.5 L","Gasoline","FL","SoA","Premium",NA,NA,37,0,25405.5686079245
"163","163","550",NA,"New","f",12,"2015","Silver","4.7 L","Gasoline","MD","SoA",NA,NA,NA,95,0,133480.907292703
"164","164","350",NA,"Used","f",15520,"2012","Silver","3.0 L","Diesel","TX","WSC","Harman Kardon","Alloy",NA,61,0,50485.5748199425
"165","165","550",NA,"New","f",32,"2015","Black","4.7 L","Gasoline","NY","Mid","Premium","Alloy","20",78,0,135304.210270296
"166","166","550",NA,"New","f",6,"2015","Black","4.6 L","Gasoline","NY","Mid",NA,NA,NA,30,0,112311.775536153
"167","167","600",NA,"Used","f",89950,"2007","Gray","5.5 L","Gasoline","FL","SoA",NA,NA,NA,55,0,28589.4345499914
"168","168","550",NA,"CPO","t",14220,"2013","White","4.6 L","Gasoline","OK","WSC","Premium","Alloy",NA,70,0,68324.87411006
"169","169","550",NA,"Used","f",38314,"2007","Black","5.5 L","Gasoline","CO","Mtn","Premium",NA,NA,56,0,32712.2772930916
"170","170","550",NA,"Used","f",54379,"2008","Silver","5.5 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,43,0,32528.032518574
"171","171","550",NA,"Used","f",37535,"2013","Silver","4.6 L","Gasoline","GA","SoA","Premium","Premium",NA,57,0,55878.4146876157
"172","172","320",NA,"Used","f",93128,"1999","Silver","3.2 L","Gasoline","MO","WNC","Premium","Alloy",NA,44,0,10347.5058821235
"173","173","550",NA,"New","f",17,"2015","Blue","4.6 L","Gasoline","IL","ENC",NA,NA,"19",15,0,112601.786538968
"174","174","500",NA,"Used","f",147323,"2006","Beige","5.0 L","Gasoline","TX","WSC",NA,NA,NA,58,0,11215.3410146225
"175","175","550",NA,"Used","t",39688,"2011","Black","5.5 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,73,0,43620.0116644337
"176","176","550",NA,"New","f",6,"2014","White","4.6 L","Gasoline","CA","Pac",NA,NA,NA,0,0,112097.138677283
"177","177","550",NA,"CPO","f",45846,"2011","Black","5.5 L","Gasoline","NC","SoA","Premium","Alloy","20",71,0,48169.76188546
"178","178","550",NA,"New","f",21,"2014","Black","4.6 L","Gasoline","NJ","Mid","Premium","Alloy",NA,66,0,110884.231310753
"179","179","550",NA,"CPO","t",25813,"2012","Black","4.6 L","Gasoline","WV","SoA","Premium","Alloy",NA,73,0,56406.7942528102
"180","180","550",NA,"New","f",5,"2014","Blue","4.6 L","Gasoline","NJ","Mid",NA,NA,NA,18,0,111229.049630964
"181","181","550",NA,"Used","t",13761,"2013","Silver","4.6 L","Gasoline","TX","WSC","Harman Kardon","Alloy",NA,92,0,62495.2485805777
"182","182","550",NA,"CPO","f",12981,"2014","White","4.6 L","Gasoline","CA","Pac",NA,NA,"20",79,0,96280.0344901395
"183","183","550",NA,"Used","f",27469,"2013","Black","4.6 L","Gasoline","AZ","Mtn","Premium",NA,NA,48,0,58012.7056893239
"184","184","550",NA,"Used","f",70765,"2007","Gray","5.5 L","Gasoline","MD","SoA","Premium","Alloy",NA,46,0,27927.6352539415
"185","185","550",NA,"New","f",5,"2014","Black","4.6 L","Gasoline","CA","Pac",NA,"Alloy",NA,31,0,111193.656427533
"186","186","550",NA,"Used","f",37727,"2011","Black","5.5 L","Gasoline","GA","SoA","Harman Kardon","Alloy",NA,72,0,43745.0441837778
"187","187","550",NA,"CPO","f",23578,"2012","Black","4.6 L","Gasoline","TN","ESC","Harman Kardon","Alloy","18",105,0,56733.9093082514
"188","188","550",NA,"New","f",11,"2015","Black","4.6 L","Gasoline","FL","SoA",NA,NA,NA,61,0,112298.712308782
"189","189","430",NA,"Used","f",53375,"2000","Silver","4.3 L","Gasoline","MA","New","Premium",NA,NA,47,0,14352.7394571852
"190","190","500",NA,"Used","f",116500,"2004","Black","5.0 L","Gasoline","FL","SoA","Premium",NA,NA,49,0,11959.2762464952
"191","191","350",NA,"Used","f",16425,"2012","Black","3.0 L","Diesel","GA","SoA","Harman Kardon","Alloy","18",79,0,50200.0412345116
"192","192","550",NA,"Used","t",15887,"2012","Black","4.6 L","Gasoline","FL","SoA",NA,NA,NA,22,0,54579.3029160073
"193","193","600",NA,"Used","f",75810,"2007","Black","5.5 L","Gasoline","FL","SoA","Harman Kardon",NA,NA,29,0,29834.8445206496
"194","194",NA,NA,"New","f",12,"2015","Black","6.0 L",NA,"NY","Mid",NA,NA,"20",6,0,158167.337887612
"195","195","550",NA,"New","f",1,"2014","Black","4.6 L","Gasoline","CT","New",NA,NA,NA,54,0,111540.67467296
"196","196","550",NA,"Used","f",21133,"2011","Black","5.5 L","Gasoline","MD","SoA",NA,NA,NA,0,0,48230.8287357684
"197","197","550",NA,"Used","f",38873,"2011",NA,"5.5 L","Gasoline","VA","SoA",NA,NA,NA,31,0,43792.6574677352
"198","198","550",NA,"New","f",9,"2015","Black","4.6 L","Gasoline","CA","Pac",NA,NA,NA,81,0,112557.380023097
"199","199","430",NA,"Used","f",137756,"2002","White","4.3 L","Gasoline","CA","Pac",NA,NA,NA,5,0,9085.08345614895
"200","200","500",NA,"Used","f",119318,"1998","Blue","5.0 L","Gasoline","PA","Mid",NA,"Alloy",NA,22,0,10442.2884989859
"201","201","550",NA,"New","f",180,"2014","Silver","4.6 L","Gasoline","FL","SoA",NA,NA,NA,20,0,110110.78602154
"202","202","550",NA,"CPO","f",22744,"2012","White","4.6 L","Gasoline","MO","WNC",NA,"Alloy",NA,91,0,58288.9514259296
"203","203","550",NA,"New","f",9,"2015","Silver","4.6 L","Gasoline","NM","Mtn","Premium","Alloy","19",72,0,115378.141695384
"204","204","550",NA,"Used","t",28629,"2008","Black","5.5 L","Gasoline","NJ","Mid","Premium","Alloy",NA,67,0,37560.0547545406
