"","X","trim","subTrim","condition","isOneOwner","mileage","year","color","displacement","fuel","state","region","soundSystem","wheelType","wheelSize","featureCount","price"
"99",99,"65 AMG","unsp","Used","f",58142,2007,"Black","6.0 L","Gasoline","TX","WSC","Premium","unsp","unsp",47,118344.140625
"100",100,"550","unsp","CPO","t",36255,2011,"Black","5.5 L","Gasoline","NC","SoA","unsp","Alloy","unsp",79,119747.40625
"101",101,"550","unsp","New","f",5,2015,"Black","4.6 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,118089.6796875
"102",102,"430","unsp","Used","f",106022,2000,"Black","4.3 L","Gasoline","NJ","Mid","unsp","Alloy","unsp",21,122196.265625
"103",103,"550","unsp","New","f",8,2015,"Black","4.6 L","Gasoline","CA","Pac","unsp","unsp","18",83,118765.171875
"104",104,"550","unsp","Used","f",66427,2007,"White","5.5 L","Gasoline","FL","SoA","Premium","Alloy","unsp",54,119130.3828125
"105",105,"550","unsp","Used","f",56069,2007,"Silver","5.5 L","Gasoline","FL","SoA","Premium","Alloy","unsp",57,119000.8203125
"106",106,"65 AMG","unsp","Used","f",13071,2007,"Black","6.0 L","Gasoline","CO","Mtn","unsp","unsp","unsp",1,115505.1328125
"107",107,"63 AMG","unsp","Used","f",40260,2012,"Black","5.5 L","Gasoline","CA","Pac","Bang Olufsen","Alloy","unsp",75,116245.90625
"108",108,"550","unsp","CPO","f",30505,2013,"Silver","4.6 L","Gasoline","CA","Pac","Premium","Alloy","unsp",82,119609.796875
"109",109,"550","unsp","New","f",10,2014,"White","4.6 L","Gasoline","TX","WSC","unsp","unsp","unsp",0,121381.421875
"110",110,"550","unsp","CPO","f",14947,2013,"Black","4.6 L","Gasoline","TX","WSC","Harman Kardon","Alloy","unsp",74,122029.53125
"111",111,"320","unsp","Used","f",249000,1997,"Black","3.2 L","Gasoline","GA","SoA","unsp","unsp","unsp",1,118209.25
"112",112,"430","unsp","Used","f",88585,2002,"Silver","4.3 L","Gasoline","MN","WNC","unsp","Alloy","unsp",52,126476.375
"113",113,"550","unsp","New","f",6,2014,"Blue","4.6 L","Gasoline","NY","Mid","unsp","unsp","unsp",25,117540.859375
"114",114,"550","unsp","New","f",18,2014,"Black","4.6 L","Gasoline","CA","Pac","unsp","unsp","unsp",1,118089.6796875
"115",115,"550","unsp","New","f",6,2015,"Silver","4.6 L","Gasoline","CA","Pac","unsp","unsp","unsp",1,118089.6796875
"116",116,"500","unsp","Used","f",109692,2000,"Silver","5.0 L","Gasoline","CA","Pac","unsp","Alloy","unsp",20,115560.65625
"117",117,"550","unsp","Used","f",51948,2010,"Black","5.5 L","Gasoline","GA","SoA","unsp","unsp","18",38,122026.7890625
"118",118,"550","unsp","Used","f",88748,2007,"Black","5.5 L","Gasoline","TX","WSC","Premium","Alloy","unsp",61,122841.3046875
"119",119,"350","unsp","Used","f",33166,2013,"Blue","3.0 L","Diesel","FL","SoA","Premium","Alloy","unsp",69,116449.40625
"120",120,"430","unsp","Used","f",111318,2003,"Silver","4.3 L","Gasoline","FL","SoA","unsp","unsp","unsp",28,118416.734375
"121",121,"550","unsp","Used","t",105000,2011,"Black","5.5 L","Gasoline","NY","Mid","Premium","unsp","unsp",45,119004.7578125
"122",122,"550","unsp","New","f",25,2014,"Silver","4.6 L","Gasoline","HI","Pac","Premium","Alloy","unsp",65,119453.6875
"123",123,"550","unsp","New","f",9,2015,"Black","4.6 L","Gasoline","IL","ENC","Premium","Alloy","unsp",65,118367.890625
"124",124,"550","unsp","Used","f",128378,2007,"White","5.5 L","Gasoline","CA","Pac","unsp","Alloy","unsp",49,120090.703125
"125",125,"600","unsp","Used","f",65295,2005,"Black","5.5 L","Gasoline","FL","SoA","unsp","Alloy","18",48,117156.84375
"126",126,"550","unsp","Used","t",26955,2008,"Black","5.5 L","Gasoline","TX","WSC","Premium","Alloy","unsp",39,122407.0859375
"127",127,"550","unsp","CPO","f",7916,2012,"Black","4.6 L","Gasoline","NJ","Mid","Premium","Alloy","18",74,122842.5078125
"128",128,"350","unsp","CPO","f",19769,2012,"Black","3.0 L","Diesel","CA","Pac","unsp","unsp","unsp",17,117182
"129",129,"430","unsp","Used","f",124595,2001,"Black","4.3 L","Gasoline","CA","Pac","unsp","unsp","unsp",7,119025.7109375
"130",130,"430","unsp","Used","f",143627,2004,"Gray","4.3 L","Gasoline","SC","SoA","unsp","Alloy","unsp",51,110879.84375
"131",131,"500","unsp","Used","f",157312,2005,"Silver","5.0 L","Gasoline","SC","SoA","unsp","Alloy","unsp",52,118613.046875
"132",132,"63 AMG","unsp","New","f",8,2015,"White","5.5 L","Gasoline","CA","Pac","unsp","unsp","20",72,120261.328125
"133",133,"550","unsp","New","f",12,2015,"Blue","4.6 L","Gasoline","TX","WSC","unsp","unsp","unsp",0,120601.78125
"134",134,"550","unsp","New","f",10,2015,"Silver","4.7 L","unsp","CA","Pac","unsp","unsp","unsp",1,119871.765625
"135",135,"500","unsp","Used","f",70215,2001,"Black","5.0 L","Gasoline","CA","Pac","Premium","Alloy","unsp",25,115258.75
"136",136,"400","Hybrid","Used","f",17765,2013,"Black","3.5 L","Hybrid","GA","SoA","Harman Kardon","Alloy","unsp",52,120564.078125
"137",137,"550","unsp","New","f",5,2015,"Black","4.6 L","Gasoline","OH","ENC","Premium","Alloy","unsp",52,118367.890625
"138",138,"550","unsp","New","f",6,2015,"Silver","4.6 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,118089.6796875
"139",139,"550","unsp","Used","f",16995,2013,"Black","4.6 L","Gasoline","TX","WSC","unsp","Alloy","unsp",60,123332.9296875
"140",140,"550","unsp","New","f",12,2014,"White","4.6 L","Gasoline","CA","Pac","unsp","unsp","unsp",1,118207.5
"141",141,"550","unsp","Used","f",89314,2007,"Gold","5.5 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,119013.5390625
"142",142,"550","unsp","Used","f",50808,2008,"Black","5.5 L","Gasoline","NC","SoA","Harman Kardon","unsp","unsp",80,117987.0390625
"143",143,"550","unsp","New","f",15,2015,"White","4.6 L","Gasoline","PA","Mid","Premium","Alloy","unsp",64,124413.4921875
"144",144,"550","unsp","Used","f",45631,2012,"Silver","4.6 L","Gasoline","MS","ESC","unsp","Alloy","unsp",69,119612.046875
"145",145,"550","unsp","Used","f",95338,2007,"Black","5.5 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,119013.5390625
"146",146,"550","unsp","New","f",45,2014,"Black","4.6 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,118089.6796875
"147",147,"550","unsp","Used","f",56910,2009,"Blue","5.5 L","Gasoline","NJ","Mid","unsp","unsp","unsp",6,121343.25
"148",148,"550","unsp","Used","t",61713,2008,"Gray","5.5 L","Gasoline","OH","ENC","Premium","Alloy","unsp",50,103620.625
"149",149,"500","unsp","Used","f",119436,2000,"Silver","5.0 L","Gasoline","FL","SoA","Premium","Alloy","unsp",55,114649.7734375
"150",150,"500","unsp","Used","f",118641,2000,"Silver","5.0 L","Gasoline","PA","Mid","unsp","Alloy","unsp",23,117637.6171875
"151",151,"500","unsp","Used","f",173386,2000,"Black","5.0 L","Gasoline","FL","SoA","unsp","unsp","unsp",33,113351.140625
"152",152,"550","unsp","New","f",7,2015,"White","4.6 L","Gasoline","CO","Mtn","Premium","Alloy","unsp",68,119120.265625
"153",153,"550","unsp","Used","f",68839,2011,"Black","5.5 L","Gasoline","GA","SoA","Harman Kardon","Alloy","unsp",62,121852.3515625
"154",154,"550","unsp","Used","t",100452,2008,"Black","5.5 L","Gasoline","FL","SoA","unsp","Alloy","unsp",13,119075.59375
"155",155,"550","unsp","Used","f",77339,2007,"Silver","5.5 L","Gasoline","SC","SoA","unsp","Alloy","unsp",45,123019.6875
"156",156,"550","unsp","New","f",9,2015,"Silver","4.6 L","Gasoline","WV","SoA","Premium","Alloy","unsp",67,119261.5
"157",157,"500","unsp","Used","f",92870,2000,"Gold","5.0 L","Gasoline","KY","ESC","unsp","Alloy","unsp",22,115771.203125
"158",158,"550","unsp","Used","f",102457,2007,"Black","5.5 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,119013.5390625
"159",159,"550","unsp","CPO","t",27383,2013,"Black","4.6 L","Gasoline","TX","WSC","Harman Kardon","Alloy","unsp",96,121595.3125
"160",160,"550","unsp","New","f",14,2014,"unsp","4.6 L","Gasoline","CO","Mtn","unsp","unsp","19",9,120831.1796875
"161",161,"550","unsp","Used","f",80123,2007,"Black","5.5 L","Gasoline","PA","Mid","Premium","Alloy","unsp",54,125120.4765625
"162",162,"550","unsp","Used","f",99555,2007,"Blue","5.5 L","Gasoline","FL","SoA","Premium","unsp","unsp",37,117451.6015625
"163",163,"550","unsp","New","f",12,2015,"Silver","4.7 L","Gasoline","MD","SoA","unsp","unsp","unsp",95,118210.8203125
"164",164,"350","unsp","Used","f",15520,2012,"Silver","3.0 L","Diesel","TX","WSC","Harman Kardon","Alloy","unsp",61,120387.0546875
"165",165,"550","unsp","New","f",32,2015,"Black","4.7 L","Gasoline","NY","Mid","Premium","Alloy","20",78,124557.515625
"166",166,"550","unsp","New","f",6,2015,"Black","4.6 L","Gasoline","NY","Mid","unsp","unsp","unsp",30,118185.2578125
"167",167,"600","unsp","Used","f",89950,2007,"Gray","5.5 L","Gasoline","FL","SoA","unsp","unsp","unsp",55,104144.921875
"168",168,"550","unsp","CPO","t",14220,2013,"White","4.6 L","Gasoline","OK","WSC","Premium","Alloy","unsp",70,119914.5234375
"169",169,"550","unsp","Used","f",38314,2007,"Black","5.5 L","Gasoline","CO","Mtn","Premium","unsp","unsp",56,118509.8671875
"170",170,"550","unsp","Used","f",54379,2008,"Silver","5.5 L","Gasoline","TX","WSC","Harman Kardon","Alloy","unsp",43,122029.53125
"171",171,"550","unsp","Used","f",37535,2013,"Silver","4.6 L","Gasoline","GA","SoA","Premium","Premium","unsp",57,122297.9375
"172",172,"320","unsp","Used","f",93128,1999,"Silver","3.2 L","Gasoline","MO","WNC","Premium","Alloy","unsp",44,116406.390625
"173",173,"550","unsp","New","f",17,2015,"Blue","4.6 L","Gasoline","IL","ENC","unsp","unsp","19",15,117738.4140625
"174",174,"500","unsp","Used","f",147323,2006,"Beige","5.0 L","Gasoline","TX","WSC","unsp","unsp","unsp",58,117394.421875
"175",175,"550","unsp","Used","t",39688,2011,"Black","5.5 L","Gasoline","TX","WSC","Harman Kardon","Alloy","unsp",73,121595.3125
"176",176,"550","unsp","New","f",6,2014,"White","4.6 L","Gasoline","CA","Pac","unsp","unsp","unsp",0,118207.5
"177",177,"550","unsp","CPO","f",45846,2011,"Black","5.5 L","Gasoline","NC","SoA","Premium","Alloy","20",71,124761
"178",178,"550","unsp","New","f",21,2014,"Black","4.6 L","Gasoline","NJ","Mid","Premium","Alloy","unsp",66,121146.203125
"179",179,"550","unsp","CPO","t",25813,2012,"Black","4.6 L","Gasoline","WV","SoA","Premium","Alloy","unsp",73,119720.640625
"180",180,"550","unsp","New","f",5,2014,"Blue","4.6 L","Gasoline","NJ","Mid","unsp","unsp","unsp",18,120455.421875
"181",181,"550","unsp","Used","t",13761,2013,"Silver","4.6 L","Gasoline","TX","WSC","Harman Kardon","Alloy","unsp",92,121595.3125
"182",182,"550","unsp","CPO","f",12981,2014,"White","4.6 L","Gasoline","CA","Pac","unsp","unsp","20",79,123326.3359375
"183",183,"550","unsp","Used","f",27469,2013,"Black","4.6 L","Gasoline","AZ","Mtn","Premium","unsp","unsp",48,116132.3984375
"184",184,"550","unsp","Used","f",70765,2007,"Gray","5.5 L","Gasoline","MD","SoA","Premium","Alloy","unsp",46,104472.8984375
"185",185,"550","unsp","New","f",5,2014,"Black","4.6 L","Gasoline","CA","Pac","unsp","Alloy","unsp",31,119219.015625
"186",186,"550","unsp","Used","f",37727,2011,"Black","5.5 L","Gasoline","GA","SoA","Harman Kardon","Alloy","unsp",72,121852.3515625
"187",187,"550","unsp","CPO","f",23578,2012,"Black","4.6 L","Gasoline","TN","ESC","Harman Kardon","Alloy","18",105,118899.828125
"188",188,"550","unsp","New","f",11,2015,"Black","4.6 L","Gasoline","FL","SoA","unsp","unsp","unsp",61,117480.703125
"189",189,"430","unsp","Used","f",53375,2000,"Silver","4.3 L","Gasoline","MA","New","Premium","unsp","unsp",47,121481.28125
"190",190,"500","unsp","Used","f",116500,2004,"Black","5.0 L","Gasoline","FL","SoA","Premium","unsp","unsp",49,113034.59375
"191",191,"350","unsp","Used","f",16425,2012,"Black","3.0 L","Diesel","GA","SoA","Harman Kardon","Alloy","18",79,120650.9296875
"192",192,"550","unsp","Used","t",15887,2012,"Black","4.6 L","Gasoline","FL","SoA","unsp","unsp","unsp",22,118298.5703125
"193",193,"600","unsp","Used","f",75810,2007,"Black","5.5 L","Gasoline","FL","SoA","Harman Kardon","unsp","unsp",29,114213.3046875
"194",194,"unsp","unsp","New","f",12,2015,"Black","6.0 L","unsp","NY","Mid","unsp","unsp","20",6,120333.5703125
"195",195,"550","unsp","New","f",1,2014,"Black","4.6 L","Gasoline","CT","New","unsp","unsp","unsp",54,119669.3515625
"196",196,"550","unsp","Used","f",21133,2011,"Black","5.5 L","Gasoline","MD","SoA","unsp","unsp","unsp",0,119134.6796875
"197",197,"550","unsp","Used","f",38873,2011,"unsp","5.5 L","Gasoline","VA","SoA","unsp","unsp","unsp",31,120668.8984375
"198",198,"550","unsp","New","f",9,2015,"Black","4.6 L","Gasoline","CA","Pac","unsp","unsp","unsp",81,118089.6796875
"199",199,"430","unsp","Used","f",137756,2002,"White","4.3 L","Gasoline","CA","Pac","unsp","unsp","unsp",5,119213.671875
"200",200,"500","unsp","Used","f",119318,1998,"Blue","5.0 L","Gasoline","PA","Mid","unsp","Alloy","unsp",22,116181.796875
"201",201,"550","unsp","New","f",180,2014,"Silver","4.6 L","Gasoline","FL","SoA","unsp","unsp","unsp",20,117480.703125
"202",202,"550","unsp","CPO","f",22744,2012,"White","4.6 L","Gasoline","MO","WNC","unsp","Alloy","unsp",91,119397.4609375
"203",203,"550","unsp","New","f",9,2015,"Silver","4.6 L","Gasoline","NM","Mtn","Premium","Alloy","19",72,118568.046875
"204",204,"550","unsp","Used","t",28629,2008,"Black","5.5 L","Gasoline","NJ","Mid","Premium","Alloy","unsp",67,121548.53125
"205",205,"550","unsp","Used","f",47875,2010,"Black","5.5 L","Gasoline","CA","Pac","unsp","unsp","unsp",31,119013.5390625
"206",206,"550","unsp","CPO","f",711,2014,"Black","4.6 L","Gasoline","MA","New","unsp","unsp","unsp",17,120677.46875
