,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,Actual,Boosting,Lasso,
5740,unsp,unsp,New,f,6,2013,Black,3.0 L,Diesel,NY,Mid,unsp,unsp,unsp,2,"68,900","103,481","106,660","34,581"
5727,63 AMG,unsp,CPO,f,48,2013,Silver,5.5 L,Gasoline,CA,Pac,unsp,Premium,unsp,31,"99,994","133,484","129,110","33,490"
1101,550,unsp,New,f,10,2015,Black,unsp,unsp,NJ,Mid,unsp,unsp,unsp,0,"149,575","116,514","111,054","33,061"
1951,63 AMG,unsp,New,f,17,2015,unsp,5.5 L,Gasoline,CO,Mtn,unsp,unsp,20,12,"198,175","165,231","167,393","32,944"
9761,550,unsp,New,f,6,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"145,985","113,058","112,141","32,927"
3772,550,unsp,New,f,10,2014,Black,4.6 L,Gasoline,WA,Pac,unsp,unsp,unsp,48,"143,145","110,690","111,102","32,455"
5755,63 AMG,unsp,New,f,1,2015,Gray,5.5 L,Gasoline,NY,Mid,unsp,unsp,20,5,"157,325","189,739","172,104","32,414"
4414,65 AMG,unsp,New,f,14,2015,Black,unsp,unsp,FL,SoA,unsp,unsp,unsp,19,"225,425","193,180","180,371","32,245"
3198,63 AMG,unsp,New,f,14,2014,Black,5.5 L,Gasoline,OH,ENC,unsp,unsp,20,97,"129,980","162,095","157,466","32,115"
7227,550,unsp,New,f,9,2013,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,10,"68,981","100,905","107,941","31,924"
1062,550,unsp,Used,t,3218,2014,unsp,4.6 L,Gasoline,NJ,Mid,unsp,Steel,18,93,"124,995","93,338","97,795","31,657"
4692,63 AMG,unsp,New,f,6,2015,Silver,unsp,unsp,CA,Pac,unsp,unsp,unsp,0,"160,685","129,381","153,942","31,304"
6571,550,unsp,New,f,8157,2014,Blue,4.6 L,Gasoline,MD,SoA,unsp,unsp,unsp,88,"137,985","106,687","109,767","31,298"
599,63 AMG,unsp,New,f,6,2015,Red,unsp,unsp,CA,Pac,unsp,unsp,unsp,0,"161,675","130,494","154,084","31,181"
6386,550,unsp,New,f,11,2014,Black,4.6 L,Gasoline,CA,Pac,Premium,Alloy,unsp,64,"141,535","110,369","111,024","31,166"
6066,550,unsp,New,f,14,2015,White,4.6 L,unsp,FL,SoA,Premium,unsp,20,64,"145,160","114,006","113,282","31,154"
2618,550,unsp,New,f,19,2015,Black,unsp,unsp,TX,WSC,unsp,unsp,19,93,"149,575","118,537","111,635","31,038"
2213,550,unsp,New,f,8,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,86,"144,605","113,772","112,526","30,833"
4412,63 AMG,unsp,New,f,13,2015,White,5.5 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,80,"196,360","165,664","165,418","30,696"
2110,550,unsp,New,f,11,2015,Black,4.6 L,unsp,FL,SoA,unsp,unsp,unsp,0,"143,685","113,015","112,055","30,670"
1130,550,unsp,New,f,30,2015,Black,unsp,unsp,CA,Pac,unsp,unsp,unsp,0,"149,575","119,060","110,822","30,515"
2580,550,unsp,Used,t,10732,2014,Blue,4.6 L,Gasoline,NV,Mtn,Premium,Alloy,unsp,69,"119,998","89,496","93,936","30,502"
8302,550,unsp,New,f,7,2015,Black,4.7 L,Gasoline,SC,SoA,unsp,unsp,unsp,0,"104,385","134,517","132,339","30,132"
5178,550,unsp,Used,f,21678,2014,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,42,"116,000","85,967","91,903","30,033"
3092,550,unsp,New,f,8,2015,Silver,4.7 L,unsp,NH,New,unsp,unsp,unsp,48,"106,895","136,771","132,662","29,876"
1816,550,unsp,New,f,11,2015,Black,4.6 L,Gasoline,FL,SoA,Premium,unsp,unsp,66,"142,885","113,274","112,308","29,611"
842,550,unsp,New,f,9,2015,Silver,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,0,"140,935","111,337","112,551","29,598"
7038,550,unsp,New,f,9,2014,Black,4.6 L,Gasoline,MO,WNC,unsp,Alloy,18,52,"139,745","110,190","111,067","29,555"
8149,550,unsp,New,f,14,2014,Black,4.6 L,Gasoline,GA,SoA,unsp,unsp,unsp,16,"141,595","112,164","111,029","29,431"
9519,550,unsp,New,f,7,2014,White,4.6 L,Gasoline,CA,Pac,Premium,Alloy,unsp,64,"140,410","111,567","112,019","28,843"
2027,63 AMG,unsp,New,f,9,2015,White,5.5 L,Gasoline,CA,Pac,Premium,Alloy,20,81,"193,060","164,708","165,507","28,352"
494,63 AMG,unsp,New,f,8761,2014,Green,5.5 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,70,"174,135","145,919","152,492","28,216"
1037,550,unsp,Used,f,23232,2009,Black,5.5 L,Gasoline,CA,Pac,Premium,Alloy,unsp,66,"69,991","42,431","40,146","27,560"
4195,550,unsp,Used,f,1689,2013,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,19,11,"108,045","80,668","75,487","27,377"
6001,550,unsp,New,f,10,2014,Black,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,1,"137,695","110,604","111,102","27,091"
1819,65 AMG,unsp,Used,f,48247,2012,Black,6.0 L,Gasoline,NJ,Mid,Bang Olufsen,Alloy,unsp,80,"119,937","92,921","93,833","27,016"
751,550,unsp,Used,f,605,2014,Silver,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,52,"129,966","102,975","102,212","26,991"
3330,550,unsp,Used,f,28,2014,White,4.6 L,Gasoline,NY,Mid,unsp,unsp,unsp,44,"132,995","106,035","112,789","26,960"
9695,63 AMG,unsp,New,f,98,2015,unsp,5.5 L,Gasoline,KY,ESC,unsp,unsp,unsp,0,"198,175","171,241","163,880","26,934"
4079,65 AMG,unsp,New,f,13,2015,Black,6.0 L,Gasoline,CA,Pac,unsp,unsp,unsp,2,"259,275","232,371","228,402","26,904"
7079,550,unsp,Used,t,55188,2007,Black,5.5 L,Gasoline,SC,SoA,Harman Kardon,unsp,unsp,35,"56,991","30,161","30,236","26,830"
6955,63 AMG,unsp,New,f,13,2015,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,20,93,"193,475","166,925","164,607","26,550"
4096,550,unsp,New,f,17,2015,Silver,4.6 L,unsp,TX,WSC,unsp,unsp,unsp,2,"139,015","112,503","112,808","26,512"
5448,65 AMG,unsp,CPO,f,13840,2013,Silver,6.0 L,Gasoline,KY,ESC,Bang Olufsen,unsp,unsp,35,"112,991","139,413","132,080","26,422"
5224,63 AMG,unsp,New,f,55,2015,Black,5.5 L,Gasoline,FL,SoA,Premium,Alloy,unsp,65,"190,275","163,873","163,857","26,402"
9673,65 AMG,unsp,Used,f,11101,2015,Black,6.0 L,Gasoline,UT,Mtn,Premium,unsp,20,87,"198,965","172,639","192,605","26,326"
2367,63 AMG,unsp,New,f,6,2015,unsp,unsp,unsp,MO,WNC,unsp,unsp,unsp,0,"161,360","135,134","154,084","26,226"
9942,550,unsp,New,f,7,2014,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,3,"137,485","111,375","111,170","26,110"
9241,63 AMG,unsp,New,f,21,2015,Silver,5.5 L,Gasoline,CA,Pac,unsp,Alloy,20,105,"145,275","171,171","164,305","25,896"
9799,550,unsp,New,f,12,2015,Black,4.6 L,Gasoline,NY,Mid,unsp,unsp,unsp,77,"137,525","111,929","112,647","25,596"
5576,550,unsp,New,f,10,2014,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"136,125","110,654","111,102","25,471"
7234,550,unsp,New,f,27,2015,Black,4.6 L,unsp,MO,WNC,unsp,unsp,unsp,46,"139,015","113,765","112,857","25,250"
5865,550,unsp,New,f,6,2015,Silver,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,86,"136,645","111,489","112,287","25,156"
1531,63 AMG,unsp,New,f,20,2015,White,5.5 L,Gasoline,UT,Mtn,Premium,unsp,unsp,86,"193,795","169,142","168,437","24,653"
70,550,unsp,New,f,50,2012,Black,4.6 L,Gasoline,WA,Pac,Harman Kardon,Alloy,unsp,89,"107,695","83,083","96,266","24,612"
134,550,unsp,New,f,10,2015,Silver,4.7 L,unsp,CA,Pac,unsp,unsp,unsp,1,"109,775","134,359","132,884","24,584"
2057,63 AMG,unsp,New,f,25,2015,White,5.5 L,Gasoline,MA,New,unsp,unsp,20,18,"197,520","173,269","165,198","24,251"
9345,550,unsp,Used,f,56596,2009,Black,5.5 L,Gasoline,NY,Mid,unsp,unsp,unsp,35,"59,899","35,769","33,919","24,130"
2454,550,unsp,New,f,20,2015,White,4.6 L,Gasoline,GA,SoA,Premium,Alloy,19,89,"140,600","116,664","113,651","23,936"
307,550,unsp,Used,f,100,2015,White,4.7 L,Gasoline,FL,SoA,Premium,unsp,unsp,37,"165,000","141,111","139,704","23,889"
6557,550,unsp,New,f,13,2015,unsp,4.6 L,Gasoline,OR,Pac,Premium,unsp,unsp,74,"138,175","114,314","112,668","23,861"
3398,550,unsp,New,f,12,2015,Black,4.6 L,Gasoline,ID,Mtn,Premium,Alloy,unsp,66,"136,615","112,794","115,599","23,821"
9512,550,unsp,New,f,10,2015,White,4.6 L,Gasoline,PA,Mid,Premium,Alloy,unsp,75,"136,370","112,560","113,422","23,810"
2415,550,unsp,New,f,15,2015,White,4.6 L,Gasoline,FL,SoA,Premium,unsp,19,78,"137,870","114,088","113,331","23,782"
4617,550,unsp,New,f,14,2015,Black,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"138,085","114,343","112,135","23,742"
66,63 AMG,unsp,New,f,91,2013,White,5.5 L,Gasoline,CA,Pac,Harman Kardon,unsp,unsp,35,"170,360","146,626","134,094","23,734"
938,550,unsp,New,f,6,2015,Silver,4.7 L,unsp,NY,Mid,unsp,unsp,unsp,26,"112,865","136,548","132,081","23,683"
217,unsp,unsp,New,f,7,2015,Black,4.7 L,Gasoline,NV,Mtn,unsp,unsp,unsp,9,"110,175","133,827","134,733","23,652"
3592,550,unsp,New,f,5,2014,White,4.6 L,Gasoline,CA,Pac,Premium,unsp,unsp,66,"136,080","112,495","112,132","23,585"
8866,550,unsp,Used,f,6020,2014,Black,4.6 L,Gasoline,VA,SoA,unsp,Steel,18,82,"117,800","94,226","95,723","23,574"
188,550,unsp,New,f,11,2015,Black,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,61,"136,035","112,518","112,299","23,517"
9250,65 AMG,unsp,Used,f,28414,2008,Black,6.0 L,Gasoline,CA,Pac,Harman Kardon,Premium,unsp,28,"74,895","98,352","61,284","23,457"
1133,550,unsp,Used,f,210,2014,White,4.6 L,Gasoline,AZ,Mtn,Premium,Alloy,unsp,51,"133,801","110,431","106,599","23,370"
6926,63 AMG,unsp,New,f,20,2015,Black,5.5 L,Gasoline,IL,ENC,Premium,Alloy,unsp,97,"193,225","169,912","164,447","23,313"
3983,550,unsp,New,f,8,2015,Silver,4.6 L,Gasoline,AR,WSC,unsp,unsp,19,23,"136,735","113,528","112,661","23,207"
6856,550,unsp,New,f,7,2015,White,4.6 L,unsp,MN,WNC,Premium,Alloy,unsp,57,"136,310","113,278","113,277","23,032"
854,550,unsp,New,f,5,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,83,"135,565","112,612","112,364","22,953"
1931,550,unsp,Used,f,39308,2009,unsp,5.5 L,Gasoline,OK,WSC,Premium,Alloy,unsp,33,"62,000","39,165","36,305","22,835"
5315,550,unsp,New,f,5,2015,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,1,"135,820","113,020","113,009","22,800"
4065,550,unsp,Used,f,10362,2014,White,4.6 L,Gasoline,TX,WSC,unsp,unsp,18,75,"114,850","92,085","95,018","22,765"
8533,unsp,unsp,New,f,27,2015,Black,5.5 L,Gasoline,PA,Mid,Premium,Alloy,unsp,76,"176,090","153,334","120,676","22,756"
2033,unsp,unsp,Used,f,161,2013,Gray,3.0 L,Gasoline,MI,ENC,Premium,Premium,unsp,53,"103,410","80,674","87,264","22,736"
7522,550,unsp,New,f,9,2014,Black,4.6 L,Gasoline,IL,ENC,unsp,unsp,unsp,0,"133,135","110,424","111,122","22,711"
2037,550,unsp,New,f,8,2015,Silver,4.7 L,Gasoline,GA,SoA,unsp,unsp,19,12,"109,425","132,128","132,547","22,703"
636,550,unsp,New,f,5,2015,Blue,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,77,"134,215","111,633","112,308","22,582"
4704,550,unsp,New,f,8,2015,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,83,"137,750","115,174","113,419","22,576"
1291,550,unsp,New,f,20,2015,Silver,4.6 L,Gasoline,UT,Mtn,Premium,unsp,unsp,75,"135,335","112,778","115,707","22,557"
4696,550,unsp,New,f,6,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,19,5,"89,831","112,350","112,211","22,519"
776,550,unsp,New,f,23,2014,Blue,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,72,"131,785","109,292","110,855","22,493"
8970,550,unsp,New,f,8,2015,Black,4.6 L,Gasoline,PA,Mid,Premium,Alloy,unsp,60,"134,885","112,751","112,426","22,134"
5636,550,unsp,New,f,12,2015,Black,unsp,unsp,VA,SoA,unsp,unsp,unsp,0,"94,400","116,487","111,007","22,087"
1981,500,unsp,Used,f,170,2000,unsp,5.0 L,Gasoline,TX,WSC,Premium,Alloy,unsp,23,"8,550","30,543","57,099","21,993"
5663,550,unsp,New,f,19,2015,Blue,unsp,unsp,NY,Mid,unsp,Alloy,19,107,"139,015","117,155","111,157","21,860"
4130,65 AMG,unsp,New,f,18,2015,Silver,6.0 L,Gasoline,CA,Pac,unsp,unsp,20,7,"250,271","228,423","228,229","21,848"
7705,63 AMG,unsp,Used,f,9757,2013,White,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,62,"119,981","98,175","94,527","21,806"
7627,550,unsp,Used,f,48637,2007,White,5.5 L,Gasoline,TN,ESC,Harman Kardon,Alloy,18,102,"52,900","31,137","31,602","21,763"
8666,unsp,unsp,New,f,12,2015,unsp,4.7 L,Gasoline,MI,ENC,unsp,unsp,unsp,9,"107,371","129,025","132,680","21,654"
7961,63 AMG,unsp,New,f,44,2015,Black,5.5 L,Gasoline,FL,SoA,Premium,unsp,unsp,90,"189,275","167,682","164,051","21,593"
8570,550,unsp,New,f,11,2015,Blue,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,67,"133,985","112,436","112,531","21,549"
8230,550,unsp,Used,f,4460,2014,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,8,"119,999","98,537","96,654","21,462"
5214,550,unsp,New,f,3,2015,unsp,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,91,"95,815","117,258","112,206","21,443"
1442,550,unsp,New,f,22,2015,Blue,4.6 L,Gasoline,NV,Mtn,unsp,unsp,unsp,5,"134,595","113,228","115,671","21,367"
6081,600,unsp,New,f,1,2015,Green,6.0 L,Gasoline,FL,SoA,Premium,unsp,unsp,90,"189,795","211,113","175,864","21,318"
2439,550,unsp,New,f,17,2014,Silver,4.6 L,Gasoline,FL,SoA,Premium,unsp,unsp,67,"131,675","110,417","110,568","21,258"
9624,63 AMG,unsp,New,f,26,2015,unsp,5.5 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,74,"198,175","176,949","164,346","21,226"
7270,550,unsp,Used,f,666,2015,Black,4.7 L,Gasoline,CA,Pac,Premium,unsp,19,76,"158,980","137,776","137,304","21,204"
8881,65 AMG,unsp,Used,t,1962,2013,White,6.0 L,Gasoline,TX,WSC,unsp,unsp,unsp,49,"155,000","176,105","137,247","21,105"
6904,unsp,unsp,New,f,2,2015,Gray,5.5 L,Gasoline,IN,ENC,Premium,unsp,unsp,76,"198,175","177,121","128,495","21,054"
96,550,unsp,Used,f,18530,2008,White,5.5 L,Gasoline,CA,Pac,Premium,Alloy,unsp,64,"62,991","41,949","41,432","21,042"
1334,550,unsp,New,f,1,2015,Black,4.6 L,Gasoline,NC,SoA,unsp,Alloy,19,68,"133,090","112,237","111,797","20,853"
7832,550,unsp,New,f,45,2014,Black,4.6 L,Gasoline,DE,SoA,unsp,unsp,unsp,54,"131,435","111,089","110,803","20,346"
5423,550,unsp,New,f,2,2015,Silver,unsp,unsp,FL,SoA,unsp,unsp,unsp,0,"137,475","117,147","110,968","20,328"
6925,550,unsp,CPO,f,6214,2014,Black,4.6 L,Gasoline,OH,ENC,unsp,unsp,unsp,75,"117,991","97,731","96,639","20,260"
335,550,unsp,New,f,8,2015,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,83,"135,430","115,174","113,419","20,256"
7743,550,unsp,New,f,35,2015,Silver,4.6 L,Gasoline,AL,ESC,unsp,unsp,18,82,"133,835","113,605","112,871","20,230"
6638,550,unsp,New,f,5,2015,White,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,81,"133,525","113,306","113,258","20,219"
4175,63 AMG,unsp,New,f,16,2013,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"162,395","142,234","139,512","20,161"
706,550,unsp,New,f,10,2015,Blue,4.6 L,Gasoline,NY,Mid,Premium,Alloy,unsp,59,"132,825","112,716","112,486","20,109"
913,63 AMG,unsp,New,f,11,2015,unsp,5.5 L,Gasoline,CA,Pac,Premium,unsp,unsp,85,"185,910","165,835","164,629","20,075"
9296,550,unsp,New,f,31,2015,Black,unsp,unsp,NJ,Mid,unsp,unsp,unsp,0,"139,065","119,060","110,815","20,005"
5606,550,unsp,New,f,10,2015,White,4.6 L,Gasoline,FL,SoA,unsp,unsp,19,22,"135,870","115,872","113,068","19,998"
4015,550,unsp,New,f,15,2015,White,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,0,"132,880","112,905","113,056","19,975"
1550,550,unsp,New,f,10,2014,White,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,0,"131,030","111,066","112,000","19,964"
6783,550,unsp,New,f,12,2015,Black,4.7 L,Gasoline,GA,SoA,unsp,unsp,19,8,"114,275","134,175","133,408","19,900"
5694,550,unsp,New,f,5,2015,unsp,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"130,995","111,151","112,080","19,844"
1095,550,unsp,New,f,5,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,18,83,"132,365","112,612","112,364","19,753"
2344,63 AMG,unsp,New,f,4,2015,unsp,unsp,unsp,NC,SoA,unsp,unsp,unsp,0,"152,510","132,759","154,166","19,751"
3988,550,unsp,Used,f,104,2015,White,4.6 L,Gasoline,NY,Mid,unsp,unsp,18,76,"97,900","117,594","119,084","19,694"
8194,550,unsp,Used,f,38967,2012,Black,4.6 L,Gasoline,MD,SoA,unsp,unsp,unsp,0,"72,742","53,196","48,625","19,546"
6118,550,unsp,Used,f,7603,2011,Black,5.5 L,Gasoline,FL,SoA,Premium,Alloy,unsp,74,"40,999","60,525","55,169","19,526"
133,550,unsp,New,f,12,2015,Blue,4.6 L,Gasoline,TX,WSC,unsp,unsp,unsp,0,"132,375","112,907","112,782","19,468"
3806,550,unsp,New,f,18,2015,Beige,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"133,175","113,788","112,509","19,387"
1272,600,unsp,New,f,1,2015,Black,6.0 L,unsp,FL,SoA,Premium,Alloy,unsp,70,"169,525","188,907","175,829","19,382"
5603,550,unsp,New,f,6,2014,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,3,"130,765","111,408","111,199","19,357"
9190,550,unsp,New,f,2,2015,Black,4.6 L,Gasoline,NV,Mtn,Premium,Alloy,19,84,"133,365","114,029","115,076","19,336"
7142,550,unsp,Used,f,6800,2012,Black,4.6 L,Gasoline,AZ,Mtn,Harman Kardon,unsp,unsp,79,"43,200","62,531","60,414","19,331"
6456,65 AMG,unsp,New,f,4,2015,Black,6.0 L,Gasoline,CA,Pac,unsp,unsp,20,1,"243,425","224,162","228,639","19,263"
7920,63 AMG,unsp,Used,t,8000,2014,unsp,5.5 L,Gasoline,OH,ENC,unsp,Alloy,unsp,79,"125,000","144,226","134,609","19,226"
9335,550,unsp,New,f,10,2015,Blue,4.6 L,Gasoline,MA,New,unsp,unsp,19,22,"134,925","115,785","112,451","19,140"
7348,550,unsp,New,f,23,2015,unsp,unsp,unsp,CA,Pac,unsp,unsp,unsp,0,"141,820","122,684","110,878","19,136"
3368,550,unsp,New,f,55,2014,Black,4.6 L,Gasoline,NJ,Mid,Premium,Alloy,unsp,72,"128,785","109,697","110,677","19,088"
851,63 AMG,unsp,Used,f,1099,2015,Gray,5.5 L,Gasoline,KY,ESC,unsp,unsp,unsp,30,"165,991","185,001","165,707","19,010"
4435,550,unsp,New,f,6,2015,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,0,"132,025","113,058","112,141","18,967"
9028,65 AMG,unsp,Used,f,36516,2012,Black,6.0 L,Gasoline,TX,WSC,Bang Olufsen,Alloy,unsp,66,"89,888","108,809","95,868","18,921"
2723,550,unsp,New,f,26,2014,Black,4.6 L,Gasoline,CA,Pac,unsp,unsp,unsp,57,"130,175","111,262","110,920","18,913"
2437,63 AMG,unsp,New,f,28,2015,Black,5.5 L,Gasoline,IL,ENC,unsp,unsp,20,74,"146,715","165,617","164,412","18,902"
4472,63 AMG,unsp,New,f,6,2015,Black,5.5 L,Gasoline,CA,Pac,unsp,unsp,20,77,"178,835","159,937","164,743","18,898"
1737,550,unsp,New,f,11,2015,Black,4.6 L,Gasoline,CA,Pac,Premium,Alloy,unsp,65,"131,215","112,318","112,535","18,897"
8005,550,unsp,CPO,f,61,2013,unsp,4.6 L,Gasoline,FL,SoA,unsp,unsp,unsp,94,"99,810","80,976","93,280","18,834"
3029,63 AMG,unsp,New,f,23,2014,White,5.5 L,Gasoline,PA,Mid,Premium,Alloy,unsp,63,"144,832","163,663","157,919","18,831"
4154,550,unsp,Used,t,13306,2011,Gray,5.5 L,Gasoline,CO,Mtn,unsp,Alloy,unsp,53,"74,000","55,190","51,580","18,810"
8371,63 AMG,unsp,New,f,30,2015,White,5.5 L,Gasoline,FL,SoA,Premium,Alloy,unsp,78,"149,300","167,971","164,925","18,671"
5657,600,unsp,Used,f,17315,2012,Black,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,55,"94,917","76,255","69,211","18,662"
589,600,unsp,New,f,26,2015,Black,6.0 L,Gasoline,CA,Pac,Bang Olufsen,unsp,19,72,"164,395","183,001","178,201","18,606"
7151,63 AMG,unsp,New,f,25,2015,White,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,1,"157,135","175,679","164,806","18,544"
7935,63 AMG,unsp,New,f,9,2015,Gray,5.5 L,unsp,NY,Mid,Premium,Alloy,unsp,67,"198,175","179,699","171,769","18,476"
